CAR,TYPE,MSG0,MSG1,MSG2,MSG3,MSG4,MSG5,TIME
1,0,81,A0,82,80,87,5B,22:2:527
2,0,82,A0,82,80,87,58,22:2:537
3,0,83,A0,82,80,87,59,22:2:547
4,0,84,A0,82,80,87,5E,22:2:557
5,0,85,A0,82,80,87,5F,22:2:567
6,0,86,A0,82,80,87,5C,22:2:577
7,0,87,A0,82,80,87,5D,22:2:587
8,0,88,A0,82,80,87,52,22:2:597
1,0,81,A0,82,80,88,54,22:2:607
2,0,82,A0,82,80,88,57,22:2:617
3,0,83,A0,82,80,88,56,22:2:637
4,0,84,A0,82,80,88,51,22:2:647
5,0,85,A0,82,80,88,50,22:2:657
6,0,86,A0,82,80,88,53,22:2:667
7,0,87,A0,82,80,88,52,22:2:677
8,0,88,A0,82,80,88,5D,22:2:687
1,0,81,A0,82,80,89,55,22:2:697
2,0,82,A0,82,80,89,56,22:2:707
3,0,83,A0,82,80,89,57,22:2:717
4,0,84,A0,82,80,89,50,22:2:727
5,0,85,A0,82,80,89,51,22:2:747
6,0,86,A0,82,80,89,52,22:2:757
7,0,87,A0,82,80,89,53,22:2:767
8,0,88,A0,82,80,89,5C,22:2:777
1,0,81,A0,82,80,8A,56,22:2:787
2,0,82,A0,82,80,8A,55,22:2:797
3,0,83,A0,82,80,8A,54,22:2:807
4,0,84,A0,82,80,8A,53,22:2:817
